@relation sessions
@attribute Session integer
@attribute Actions integer
@attribute Time integer
@attribute PageAverageTime real
@attribute /ksc.html {True, False}
@attribute /shuttle/missions/missions.html {True, False}
@attribute /shuttle/countdown/ {True, False}
@attribute / {True, False}
@data
307,10,997,99.7,True,True,True,True
308,2,12,6.0,True,True,True,True
309,5,139,27.8,True,True,True,True
311,5,387,77.4,True,True,True,True
312,2,60,30.0,True,True,True,True
318,2,25,12.5,True,True,True,True
320,2,104,52.0,True,True,True,True
321,3,788,262.6666666666667,True,True,True,True
327,8,1063,132.875,True,True,True,True
330,3,134,44.666666666666664,True,True,True,True
332,12,841,70.08333333333333,True,True,True,True
334,4,116,29.0,True,True,True,True
335,2,989,494.5,True,True,True,True
337,2,180,90.0,True,True,True,True
341,4,634,158.5,True,True,True,True
345,19,1211,63.73684210526316,True,True,True,True
347,3,550,183.33333333333334,True,True,True,True
353,2,139,69.5,True,True,True,True
357,2,145,72.5,True,True,True,True
361,7,720,102.85714285714286,True,True,True,True
364,4,207,51.75,True,True,True,True
366,2,33,16.5,True,True,True,True
369,3,18,6.0,True,True,True,True
370,4,52,13.0,True,True,True,True
371,2,35,17.5,True,True,True,True
372,3,28,9.333333333333334,True,True,True,True
373,10,635,63.5,True,True,True,True
374,5,55,11.0,True,True,True,True
377,2,158,79.0,True,True,True,True
383,3,62,20.666666666666668,True,True,True,True
385,3,63,21.0,True,True,True,True
391,2,669,334.5,True,True,True,True
392,6,973,162.16666666666666,True,True,True,True
396,2,89,44.5,True,True,True,True
397,6,214,35.666666666666664,True,True,True,True
398,2,16,8.0,True,True,True,True
399,8,476,59.5,True,True,True,True
400,2,4,2.0,True,True,True,True
401,4,288,72.0,True,True,True,True
412,6,767,127.83333333333333,True,True,True,True
414,3,159,53.0,True,True,True,True
420,3,45,15.0,True,True,True,True
426,3,132,44.0,True,True,True,True
427,2,139,69.5,True,True,True,True
431,2,64,32.0,True,True,True,True
432,2,509,254.5,True,True,True,True
434,3,177,59.0,True,True,True,True
442,3,49,16.333333333333332,True,True,True,True
443,5,306,61.2,True,True,True,True
444,2,27,13.5,True,True,True,True
446,2,178,89.0,True,True,True,True
447,3,395,131.66666666666666,True,True,True,True
449,3,43,14.333333333333334,True,True,True,True
451,2,47,23.5,True,True,True,True
454,3,113,37.666666666666664,True,True,True,True
456,4,323,80.75,True,True,True,True
457,6,218,36.333333333333336,True,True,True,True
458,2,76,38.0,True,True,True,True
459,9,320,35.55555555555556,True,True,True,True
460,2,192,96.0,True,True,True,True
464,8,376,47.0,True,True,True,True
466,2,20,10.0,True,True,True,True
471,12,1328,110.66666666666667,True,True,True,True
472,2,7,3.5,True,True,True,True
474,5,363,72.6,True,True,True,True
475,3,115,38.333333333333336,True,True,True,True
476,6,90,15.0,True,True,True,True
477,4,36,9.0,True,True,True,True
478,3,160,53.333333333333336,True,True,True,True
479,9,713,79.22222222222223,True,True,True,True
481,3,271,90.33333333333333,True,True,True,True
